model,prediction_key,threshold,n,tn,fp,fn,tp,auc_loocv,accuracy,balanced_accuracy,sensitivity_recall_tpr,specificity_tnr,precision_ppv,npv,f1,fpr,fnr,fdr,for,prevalence,predicted_positive_rate,predicted_negative_rate
GNB fixed,gnb_fixed_PWave_NoLit_Clinical_Preop_loocv,0.5,151,87,12,30,22,0.702020202020202,0.7218543046357616,0.6509324009324009,0.4230769230769231,0.8787878787878788,0.6470588235294118,0.7435897435897436,0.5116279069767442,0.12121212121212122,0.5769230769230769,0.35294117647058826,0.2564102564102564,0.3443708609271523,0.2251655629139073,0.7748344370860927
BernoulliNB tuned,bernoulli_tuned_PWave_NoLit_Clinical_Preop_loocv,0.5,151,83,16,27,25,0.726107226107226,0.7152317880794702,0.6595765345765345,0.4807692307692308,0.8383838383838383,0.6097560975609756,0.7545454545454545,0.5376344086021505,0.16161616161616163,0.5192307692307693,0.3902439024390244,0.24545454545454545,0.3443708609271523,0.271523178807947,0.7284768211920529
